"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"173","PCMP_H303","SRR10116680","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5414794,57,270452,285.536,"Klebsiella pneumoniae","ST258"
"174","PCMP_H305","SRR10116678","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5536916,67,232753,214.66,"Klebsiella pneumoniae","ST258"
"175","PCMP_H307","SRR10116675","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5453923,50,318232,133.986,"Klebsiella pneumoniae","ST258"
"176","PCMP_H308","SRR10116674","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5257440,44,270872,107.309,"Klebsiella pneumoniae","ST258"
"177","PCMP_H312","SRR10116670","Illumina HiSeq 2500","2014-15","Blood","LTACH 9",5607766,72,234019,94.0102,"Klebsiella pneumoniae","ST258"
"178","PCMP_H27","SRR10116386","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5694505,79,225279,138.605,"Klebsiella pneumoniae","ST258"
"179","PCMP_H313","SRR10116669","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5389170,53,270452,410.673,"Klebsiella pneumoniae","ST258"
"180","PCMP_H315","SRR10116667","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5538834,65,231588,111.573,"Klebsiella pneumoniae","ST258"
"181","PCMP_H316","SRR10116666","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5635527,66,270193,296.794,"Klebsiella pneumoniae","ST258"
"182","PCMP_H317","SRR10116663","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5549627,64,270193,174.548,"Klebsiella pneumoniae","ST258"
"183","PCMP_H318","SRR10116662","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5500899,70,270799,131.585,"Klebsiella pneumoniae","ST258"
"184","PCMP_H446","SRR10116810","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5623102,74,270799,217.589,"Klebsiella pneumoniae","ST258"
"185","PCMP_H320","SRR10116660","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5453635,59,264881,145.895,"Klebsiella pneumoniae","ST258"
"186","PCMP_H321","SRR10116659","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",6044909,115,190461,160.687,"Klebsiella pneumoniae","ST2237"
"187","PCMP_H322","SRR10116658","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5700101,80,248279,98.5818,"Klebsiella pneumoniae","ST258"
"188","PCMP_H324","SRR10116656","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5752922,71,198667,126.658,"Klebsiella pneumoniae","ST15"
"189","PCMP_H325","SRR10116655","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5845978,91,231105,145.254,"Klebsiella pneumoniae","ST258"
"190","PCMP_H478","SRR10116779","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5851119,97,171976,102.003,"Klebsiella pneumoniae","ST258"
"191","PCMP_H28","SRR10116375","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5537154,42,486645,154.197,"Klebsiella pneumoniae","ST345"
"192","PCMP_H328","SRR10116651","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5840640,93,270467,138.708,"Klebsiella pneumoniae","ST258"
"193","PCMP_H441","SRR10116815","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5826395,93,215169,136.868,"Klebsiella pneumoniae","ST258"
"194","PCMP_H329","SRR10116650","Illumina HiSeq 2500","2014-15","Blood","LTACH 7",5970655,101,220606,206.44,"Klebsiella pneumoniae","ST258"
"195","PCMP_H330","SRR10116649","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5694238,65,225024,129.507,"Klebsiella pneumoniae","ST258"
"196","PCMP_H334","SRR10116646","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5752804,73,208256,85.9694,"Klebsiella pneumoniae","ST15"
"197","PCMP_H335","SRR10116645","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5393871,50,323232,85.0528,"Klebsiella pneumoniae","ST258"
"198","PCMP_H336","SRR10116644","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5540799,71,233162,111.013,"Klebsiella pneumoniae","ST15"
"199","PCMP_H339","SRR10116640","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5678502,75,234019,89.2128,"Klebsiella pneumoniae","ST258"
"200","PCMP_H340","SRR10116639","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5737842,65,270467,144.799,"Klebsiella pneumoniae","ST258"
"201","PCMP_H341","SRR10116638","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5540848,68,227809,126.793,"Klebsiella pneumoniae","ST15"
"202","PCMP_H29","SRR10116709","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5751283,86,189645,52.6306,"Klebsiella pneumoniae","ST15"
"203","PCMP_H342","SRR10116637","Illumina HiSeq 2500","2014-15","Blood","LTACH 1",5296519,47,260246,83.6236,"Klebsiella pneumoniae","ST258"
"204","PCMP_H343","SRR10116636","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5826417,80,220453,209.034,"Klebsiella pneumoniae","ST258"
"205","PCMP_H345","SRR10116634","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5391975,52,323232,161.241,"Klebsiella pneumoniae","ST258"
"206","PCMP_H346","SRR10116633","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5629168,80,270467,337.199,"Klebsiella pneumoniae","ST258"
"207","PCMP_H347","SRR10116632","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5600620,99,231115,128.793,"Klebsiella pneumoniae","ST258"
"208","PCMP_H348","SRR10116630","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5653834,68,270452,173.392,"Klebsiella pneumoniae","ST258"
"209","PCMP_H350","SRR10116628","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5447041,80,270452,128.092,"Klebsiella pneumoniae","ST258"
"210","PCMP_H352","SRR10116626","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5545614,65,354333,136.667,"Klebsiella pneumoniae","ST17"
"211","PCMP_H353","SRR10116625","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5408981,48,220809,222.009,"Klebsiella pneumoniae","ST258"
"212","PCMP_H3","SRR10116431","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5824810,155,270194,170.468,"Klebsiella pneumoniae","ST258"
"213","PCMP_H30","SRR10116698","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5463030,64,275429,118.149,"Klebsiella pneumoniae","ST258"
"214","PCMP_H355","SRR10116623","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5947055,102,209774,164.463,"Klebsiella pneumoniae","ST258"
"215","PCMP_H468","SRR10116788","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5879710,80,270193,134.703,"Klebsiella pneumoniae","ST258"
"216","PCMP_H356","SRR10116622","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5752734,82,231084,181.695,"Klebsiella pneumoniae","ST258"
"217","PCMP_H436","SRR10116821","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5751320,85,225025,169.106,"Klebsiella pneumoniae","ST258"
"218","PCMP_H357","SRR10116621","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5692279,65,221608,140.13,"Klebsiella pneumoniae","ST258"
"219","PCMP_H358","SRR10116619","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5750231,77,198667,302.914,"Klebsiella pneumoniae","ST15"
"220","PCMP_H455","SRR10116802","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5719175,72,224716,153.993,"Klebsiella pneumoniae","ST258"
"221","PCMP_H359","SRR10116618","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5589942,66,318232,133.36,"Klebsiella pneumoniae","ST258"
"222","PCMP_H444","SRR10116812","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5588902,68,271294,144.185,"Klebsiella pneumoniae","ST258"
"223","PCMP_H360","SRR10116617","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5531598,70,270412,159.215,"Klebsiella pneumoniae","ST258"
"224","PCMP_H361","SRR10116616","Illumina HiSeq 2500","2014-15","Wound","LTACH 12",5553618,64,280584,133.307,"Klebsiella pneumoniae","ST258"
"225","PCMP_H362","SRR10116615","Illumina HiSeq 2500","2014-15","Blood","LTACH 3",5726562,68,237744,87.5952,"Klebsiella pneumoniae","ST258"
"226","PCMP_H31","SRR10116687","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5701108,76,237852,131.994,"Klebsiella pneumoniae","ST258"
"227","PCMP_H371","SRR10116606","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5972136,102,220206,169.285,"Klebsiella pneumoniae","ST258"
"228","PCMP_H372","SRR10116605","Illumina HiSeq 2500","2014-15","Blood","LTACH 1",5413434,63,270452,101.99,"Klebsiella pneumoniae","ST258"
"229","PCMP_H373","SRR10116604","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5828268,127,159865,165.249,"Klebsiella pneumoniae","ST258"
"230","PCMP_H374","SRR10116603","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5815600,100,204995,179.109,"Klebsiella pneumoniae","ST258"
"231","PCMP_H32","SRR10116676","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5415010,63,237758,216.033,"Klebsiella pneumoniae","ST258"
"232","PCMP_H285","SRR10116700","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5414714,60,328522,164.288,"Klebsiella pneumoniae","ST258"
"233","PCMP_H375","SRR10116602","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5687047,76,225021,65.9753,"Klebsiella pneumoniae","ST258"
"234","PCMP_H425","SRR10116546","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5684487,71,270452,101.907,"Klebsiella pneumoniae","ST258"
"235","PCMP_H376","SRR10116601","Illumina HiSeq 2500","2014-15","Blood","LTACH 4",5531233,94,157686,80.7527,"Klebsiella pneumoniae","ST258"
"236","PCMP_H377","SRR10116600","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5414156,63,237759,58.8574,"Klebsiella pneumoniae","ST258"
"237","PCMP_H378","SRR10116599","Illumina HiSeq 2500","2014-15","Blood","LTACH 4",5792605,122,269763,129.512,"Klebsiella pneumoniae","ST258"
"238","PCMP_H379","SRR10116597","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5689758,80,234015,96.0735,"Klebsiella pneumoniae","ST258"
"239","PCMP_H380","SRR10116596","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5668112,98,130678,78.1273,"Klebsiella pneumoniae","ST258"
"240","PCMP_H445","SRR10116811","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5665535,77,203931,132.036,"Klebsiella pneumoniae","ST258"
"241","PCMP_H382","SRR10116594","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5703504,99,171852,78.2275,"Klebsiella pneumoniae","ST258"
"242","PCMP_H383","SRR10116593","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5508870,70,269764,49.4636,"Klebsiella pneumoniae","ST258"
"243","PCMP_H384","SRR10116592","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5502973,76,220452,94.9652,"Klebsiella pneumoniae","ST258"
"244","PCMP_H386","SRR10116590","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5393210,59,271294,94.8826,"Klebsiella pneumoniae","ST258"
"245","PCMP_H33","SRR10116664","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5693020,77,237852,208.175,"Klebsiella pneumoniae","ST258"
"246","PCMP_H388","SRR10116588","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5508056,79,155885,72.6911,"Klebsiella pneumoniae","ST258"
"247","PCMP_H391","SRR10116584","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5480514,54,233194,218.794,"Klebsiella pneumoniae","ST258"
"248","PCMP_H392","SRR10116583","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5532190,68,237760,117.748,"Klebsiella pneumoniae","ST258"
"249","PCMP_H393","SRR10116582","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5980756,91,221619,118.577,"Klebsiella pneumoniae","ST258"
"250","PCMP_H394","SRR10116581","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5560351,62,269763,99.8072,"Klebsiella pneumoniae","ST258"
"251","PCMP_H395","SRR10116580","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5688583,78,167991,47.0933,"Klebsiella pneumoniae","ST258"
"252","PCMP_H398","SRR10116577","Illumina HiSeq 2500","2014-15","Urine","LTACH 11",5616203,66,237757,84.2401,"Klebsiella pneumoniae","ST258"
"253","PCMP_H399","SRR10116575","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 8",5508638,65,225025,209.719,"Klebsiella pneumoniae","ST258"
"254","PCMP_H423","SRR10116548","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5648682,64,262751,230.125,"Klebsiella pneumoniae","ST258"
"255","PCMP_H400","SRR10116574","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5646603,71,262758,73.8,"Klebsiella pneumoniae","ST258"
"256","PCMP_H401","SRR10116573","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5392081,55,323239,57.3362,"Klebsiella pneumoniae","ST258"
"257","PCMP_H34","SRR10116653","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5632923,73,225024,251.486,"Klebsiella pneumoniae","ST258"
"258","PCMP_H405","SRR10116569","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5560950,79,225290,115.6,"Klebsiella pneumoniae","ST258"
"259","PCMP_H408","SRR10116566","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5394164,54,323239,58.5508,"Klebsiella pneumoniae","ST258"
"260","PCMP_H410","SRR10116563","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5678334,71,216140,65.6383,"Klebsiella pneumoniae","ST258"
"261","PCMP_H413","SRR10116560","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5451960,54,270819,100.498,"Klebsiella pneumoniae","ST258"
"262","PCMP_H414","SRR10116559","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5546253,91,182180,80.4109,"Klebsiella pneumoniae","ST258"
"263","PCMP_H415","SRR10116558","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5316745,56,270452,224.38,"Klebsiella pneumoniae","ST258"
"264","PCMP_H416","SRR10116557","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5251824,49,270452,119.454,"Klebsiella pneumoniae","ST258"
"265","PCMP_H417","SRR10116556","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5667103,74,237852,133.766,"Klebsiella pneumoniae","ST258"
"266","PCMP_H420","SRR10116551","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5668479,68,269763,113.467,"Klebsiella pneumoniae","ST258"
"267","PCMP_H35","SRR10116642","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5970600,89,225270,180.733,"Klebsiella pneumoniae","ST258"
"268","PCMP_H421","SRR10116550","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5878278,78,270467,139.914,"Klebsiella pneumoniae","ST258"
"269","PCMP_H429","SRR10116827","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5547571,70,270819,160.51,"Klebsiella pneumoniae","ST258"
"270","PCMP_H450","SRR10116805","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5880190,273,52416,196.63,"Klebsiella pneumoniae","ST258"
"271","PCMP_H424","SRR10116547","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5579539,66,224658,110.95,"Klebsiella pneumoniae","ST258"
"272","PCMP_H428","SRR10116829","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5413350,61,270452,117.038,"Klebsiella pneumoniae","ST258"
"273","PCMP_H427","SRR10116544","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5695577,76,237758,142.981,"Klebsiella pneumoniae","ST258"
"274","PCMP_H430","SRR10116826","Illumina HiSeq 2500","2014-15","Blood","LTACH 1",5366254,51,260246,143.354,"Klebsiella pneumoniae","ST258"
"275","PCMP_H422","SRR10116549","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5744308,84,225024,207.737,"Klebsiella pneumoniae","ST258"
"276","PCMP_H434","SRR10116822","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5695193,73,269763,128.714,"Klebsiella pneumoniae","ST258"
"277","PCMP_H459","SRR10116798","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5464880,68,237758,190.665,"Klebsiella pneumoniae","ST258"
"278","PCMP_H36","SRR10116631","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5542291,73,269763,195.052,"Klebsiella pneumoniae","ST258"
"279","PCMP_H109","SRR10116716","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5543278,63,269763,109.152,"Klebsiella pneumoniae","ST258"
"280","PCMP_H454","SRR10116803","Illumina HiSeq 2500","2014-15","Blood","LTACH 9",5680319,72,269763,220.1,"Klebsiella pneumoniae","ST258"
"281","PCMP_H426","SRR10116545","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5393581,52,270819,158.656,"Klebsiella pneumoniae","ST258"
"282","PCMP_H464","SRR10116792","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5415881,53,328952,95.4036,"Klebsiella pneumoniae","ST258"
"283","PCMP_H481","SRR10116776","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5656099,77,237852,48.8218,"Klebsiella pneumoniae","ST258"
"284","PCMP_H432","SRR10116824","Illumina HiSeq 2500","2014-15","Blood","LTACH 4",5691315,68,269763,207.324,"Klebsiella pneumoniae","ST258"
"285","PCMP_H477","SRR10116780","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5533750,69,238326,120.827,"Klebsiella pneumoniae","ST258"
"286","PCMP_H482","SRR10116775","Illumina HiSeq 2500","2014-15","Blood","LTACH 4",5688644,84,237852,45.7337,"Klebsiella pneumoniae","ST258"
"287","PCMP_H479","SRR10116778","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5538343,64,270452,69.7999,"Klebsiella pneumoniae","ST258"
"288","PCMP_H480","SRR10116777","Illumina HiSeq 2500","2014-15","Blood","LTACH 10",5780354,73,264240,172.374,"Klebsiella pneumoniae","ST258"
"289","PCMP_H466","SRR10116790","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5743753,89,237852,112.11,"Klebsiella pneumoniae","ST258"
"290","PCMP_H37","SRR10116620","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5246776,47,270800,141.06,"Klebsiella pneumoniae","ST258"
"291","PCMP_H97","SRR10116729","Illumina HiSeq 2500","2014-15","Urine","LTACH 8",5246361,46,271294,112.234,"Klebsiella pneumoniae","ST258"
"292","PCMP_H465","SRR10116791","Illumina HiSeq 2500","2014-15","Blood","LTACH 8",5680442,71,269763,60.3952,"Klebsiella pneumoniae","ST258"
"293","PCMP_H439","SRR10116818","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5894681,99,225365,193.597,"Klebsiella pneumoniae","ST258"
"294","PCMP_H442","SRR10116814","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5403268,50,270452,117.952,"Klebsiella pneumoniae","ST258"
"295","PCMP_H447","SRR10116809","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5465657,67,270452,210.372,"Klebsiella pneumoniae","ST258"
"296","PCMP_H438","SRR10116819","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5864986,87,219121,159.314,"Klebsiella pneumoniae","ST258"
"297","PCMP_H448","SRR10116808","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5506878,65,216764,219.313,"Klebsiella pneumoniae","ST258"
"298","PCMP_H443","SRR10116813","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5694036,70,212491,181.48,"Klebsiella pneumoniae","ST258"
"299","PCMP_H467","SRR10116789","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5547671,74,270819,116.322,"Klebsiella pneumoniae","ST258"
"300","PCMP_H38","SRR10116609","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5647005,65,270452,260.735,"Klebsiella pneumoniae","ST258"
"301","PCMP_H175","SRR10116471","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5626010,63,269763,189.853,"Klebsiella pneumoniae","ST258"
"302","PCMP_H457","SRR10116800","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5845175,84,220241,267.175,"Klebsiella pneumoniae","ST258"
"303","PCMP_H458","SRR10116799","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5938029,98,209355,144.433,"Klebsiella pneumoniae","ST258"
"304","PCMP_H440","SRR10116816","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5424490,63,262757,135.456,"Klebsiella pneumoniae","ST258"
"305","PCMP_H461","SRR10116796","Illumina HiSeq 2500","2014-15","Urine","LTACH 10",5694143,77,237759,137.442,"Klebsiella pneumoniae","ST258"
"306","PCMP_H460","SRR10116797","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5659814,76,237759,89.4793,"Klebsiella pneumoniae","ST258"
"307","PCMP_H463","SRR10116793","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5673587,66,207052,123.904,"Klebsiella pneumoniae","ST15"
"308","PCMP_H462","SRR10116794","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5392719,53,323239,156.798,"Klebsiella pneumoniae","ST258"
"309","PCMP_H456","SRR10116801","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5538430,65,232140,356.236,"Klebsiella pneumoniae","ST258"
"310","PCMP_H453","SRR10116804","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5695891,88,224350,178.833,"Klebsiella pneumoniae","ST258"
"311","PCMP_H39","SRR10116598","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5692693,80,234019,172.629,"Klebsiella pneumoniae","ST258"
"312","PCMP_H124","SRR10116525","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5693852,78,234019,190.895,"Klebsiella pneumoniae","ST258"
"313","PCMP_H431","SRR10116825","Illumina HiSeq 2500","2014-15","Urine","LTACH 11",5604846,65,219996,160.709,"Klebsiella pneumoniae","ST258"
"314","PCMP_H471","SRR10116785","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5598023,92,156285,31.5256,"Klebsiella pneumoniae","ST258"
"315","PCMP_H474","SRR10116782","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5972002,97,270193,64.8591,"Klebsiella pneumoniae","ST258"
"316","PCMP_H475","SRR10116781","Illumina HiSeq 2500","2014-15","Blood","LTACH 5",5686919,73,211283,56.6261,"Klebsiella pneumoniae","ST258"
"317","PCMP_H469","SRR10116787","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5413616,63,237759,175.119,"Klebsiella pneumoniae","ST258"
"318","PCMP_H470","SRR10116786","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5534229,72,220206,65.7489,"Klebsiella pneumoniae","ST258"
"319","PCMP_H4","SRR10116665","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",6064106,193,197191,121.773,"Klebsiella pneumoniae","ST258"
"320","PCMP_H40","SRR10116587","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5727476,72,240541,154.297,"Klebsiella pneumoniae","ST258"
"321","PCMP_H41","SRR10116576","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5922035,85,270467,205.415,"Klebsiella pneumoniae","ST258"
"322","PCMP_H42","SRR10116565","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5926577,88,270467,224.569,"Klebsiella pneumoniae","ST258"
"323","PCMP_H43","SRR10116553","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5499274,65,270193,167.495,"Klebsiella pneumoniae","ST258"
"324","PCMP_H44","SRR10116828","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5660280,73,219120,129.264,"Klebsiella pneumoniae","ST258"
"325","PCMP_H145","SRR10116504","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5662056,71,270467,113.148,"Klebsiella pneumoniae","ST258"
"326","PCMP_H45","SRR10116817","Illumina HiSeq 2500","2014-15","Blood","LTACH 3",5749169,69,206953,99.4709,"Klebsiella pneumoniae","ST15"
"327","PCMP_H46","SRR10116806","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5708292,92,203931,143.941,"Klebsiella pneumoniae","ST258"
"328","PCMP_H48","SRR10116795","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5666263,87,194956,109.646,"Klebsiella pneumoniae","ST258"
"329","PCMP_H278","SRR10116706","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5696916,77,212988,108.158,"Klebsiella pneumoniae","ST258"
"330","PCMP_H5","SRR10116554","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5470166,126,237760,76.7346,"Klebsiella pneumoniae","ST258"
"331","PCMP_H223","SRR10116420","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5345370,52,260242,152.569,"Klebsiella pneumoniae","ST258"
"332","PCMP_H65","SRR10116762","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5701009,79,237759,195.115,"Klebsiella pneumoniae","ST258"
"333","PCMP_H66","SRR10116761","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5649654,84,203931,135.265,"Klebsiella pneumoniae","ST258"
"334","PCMP_H68","SRR10116760","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5798315,80,225700,204.321,"Klebsiella pneumoniae","ST258"
"335","PCMP_H69","SRR10116758","Illumina HiSeq 2500","2014-15","Urine","LTACH 2",5393809,54,270412,222.047,"Klebsiella pneumoniae","ST258"
"336","PCMP_H70","SRR10116757","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5662977,77,237852,199.819,"Klebsiella pneumoniae","ST258"
"337","PCMP_H72","SRR10116755","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5695277,77,234019,121.702,"Klebsiella pneumoniae","ST258"
"338","PCMP_H100","SRR10116725","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5483159,66,270452,210.827,"Klebsiella pneumoniae","ST258"
"339","PCMP_H7","SRR10116770","Illumina HiSeq 2500","2014-15","Wound","LTACH 5",5690296,64,225025,134.862,"Klebsiella pneumoniae","ST258"
"340","PCMP_H74","SRR10116753","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5406588,58,328522,164.053,"Klebsiella pneumoniae","ST258"
"341","PCMP_H75","SRR10116752","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5686278,78,234015,125.529,"Klebsiella pneumoniae","ST258"
"342","PCMP_H76","SRR10116751","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5405216,61,270194,335.597,"Klebsiella pneumoniae","ST258"
"343","PCMP_H77","SRR10116750","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5688786,88,191344,168.24,"Klebsiella pneumoniae","ST258"
"344","PCMP_H337","SRR10116643","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5681219,86,197839,139.695,"Klebsiella pneumoniae","ST258"
"345","PCMP_H78","SRR10116749","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5415442,61,270819,304.678,"Klebsiella pneumoniae","ST258"
